Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
1,Division,RDF10,Sciences naturelles,"Cette division comprend la recherche et le développement expérimental en sciences naturelles. Les sciences naturelles réfèrent aux disciplines scientifiques relevant de la compréhension, de l'exploration ou de l'évolution du monde matériel, dans le domaine des sciences naturelles, lequel inclut les mathématiques et la statistique; l'informatique et les sciences de l'information; les sciences physiques; les sciences chimiques; les sciences de la terre et de l'environnement; les sciences biologiques; et les autres sciences naturelles. La recherche consiste en l'investigation systématique par l'expérimentation ou l'analyse, afin de réaliser un progrès scientifique ou technologique, comme l'acquisition de nouvelles connaissances sur les fondements des phénomènes et des faits observables. Le développement expérimental consiste à réaliser de nouveaux biens, services, systèmes, méthodes ou procédés, ou d'améliorer substantiellement les biens, services, systèmes, méthodes ou procédés existants."
2,Groupe,RDF101,Mathématiques et statistique,Ce groupe comprend la recherche et le développement expérimental en mathématiques et statistiques.
3,Classe,RDF10101,Mathématiques pures,Cette classe comprend la recherche et le développement expérimental en mathématiques pures.
4,Sous-classe (Domaine),RDF1010101,Algèbre,Cette sous-classe comprend la recherche et le développement expérimental en algèbre.
4,Sous-classe (Domaine),RDF1010102,Théorie des nombres,Cette sous-classe comprend la recherche et le développement expérimental en théorie des nombres.
4,Sous-classe (Domaine),RDF1010103,Géométrie algébrique et différentielle,Cette sous-classe comprend la recherche et le développement expérimental en géométrie algébrique et différentielle.
4,Sous-classe (Domaine),RDF1010104,Géométrie métrique et fractale,Cette sous-classe comprend la recherche et le développement expérimental en géométrie métrique et fractale.
4,Sous-classe (Domaine),RDF1010105,"Théorie des catégories, théorie K, algèbre homologique","Cette sous-classe comprend la recherche et le développement expérimental en théorie des catégories, théorie K, algèbre homologique."
4,Sous-classe (Domaine),RDF1010106,Combinatoire et mathématiques discrètes,Cette sous-classe comprend la recherche et le développement expérimental en combinatoire et mathématiques discrètes.
4,Sous-classe (Domaine),RDF1010107,Théorie des groupes et généralisations,Cette sous-classe comprend la recherche et le développement expérimental en théorie des groupes et généralisations.
4,Sous-classe (Domaine),RDF1010108,"Groupes de Lie, analyse harmonique et analyse de Fourier","Cette sous-classe comprend la recherche et le développement expérimental en groupes de Lie, analyse harmonique et analyse de Fourier."
4,Sous-classe (Domaine),RDF1010109,"Fondements, logique et théorie des ensembles en mathématique","Cette sous-classe comprend la recherche et le développement expérimental en fondements, logique et théorie des ensembles en mathématique."
4,Sous-classe (Domaine),RDF1010110,Analyse moderne en mathématique,Cette sous-classe comprend la recherche et le développement expérimental en analyse moderne en mathématique.
4,Sous-classe (Domaine),RDF1010111,Équations différentielles et équations intégrales en mathématiques pures,Cette sous-classe comprend la recherche et le développement expérimental avec l'analyse classique en mathématiques pures.
4,Sous-classe (Domaine),RDF1010112,Analyse classique en mathématiques pures,Cette sous-classe comprend la recherche et le développement expérimental en analyse classique en mathématiques pures.
4,Sous-classe (Domaine),RDF1010113,Topologie,Cette sous-classe comprend la recherche et le développement expérimental en topologie.
4,Sous-classe (Domaine),RDF1010199,"Mathématiques pures, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en mathématiques pures, n.c.a."
3,Classe,RDF10102,Mathématiques appliquées,Cette classe comprend la recherche et le développement expérimental en mathématiques appliquées.
4,Sous-classe (Domaine),RDF1010201,Théorie d'approximation et méthodes asymptotiques,Cette sous-classe comprend la recherche et le développement expérimental en théorie d'approximation et méthodes asymptotiques.
4,Sous-classe (Domaine),RDF1010202,Équations intégrales en mathématiques appliquées,Cette sous-classe comprend la recherche et le développement expérimental en équations intégrales en mathématiques appliquées.
4,Sous-classe (Domaine),RDF1010203,Équations différentielles ordinaires et équations aux dérivées partielles,Cette sous-classe comprend la recherche et le développement expérimental en équations différentielles ordinaires et équations aux dérivées partielles.
4,Sous-classe (Domaine),RDF1010204,Modélisation et simulation mathématiques,Cette sous-classe comprend la recherche et le développement expérimental en modélisation et simulation mathématiques.
4,Sous-classe (Domaine),RDF1010205,Mécanique computationnelle des fluides,Cette sous-classe comprend la recherche et le développement expérimental en mécanique des fluides computationnelle.
4,Sous-classe (Domaine),RDF1010206,Biomathématiques,Cette sous-classe comprend la recherche et le développement expérimental en biomathématique.
4,Sous-classe (Domaine),RDF1010207,"Calcul des variations, théorie des systèmes et théorie du contrôle","Cette sous-classe comprend la recherche et le développement expérimental en calcul des variations, théorie des systèmes et théorie du contrôle."
4,Sous-classe (Domaine),RDF1010208,Systèmes dynamiques appliqués,Cette sous-classe comprend la recherche et le développement expérimental en systèmes dynamiques appliqués.
4,Sous-classe (Domaine),RDF1010209,Aspects mathématiques de la recherche opérationnelle,Cette sous-classe comprend la recherche et le développement expérimental en aspects mathématiques de la recherche opérationnelle.
4,Sous-classe (Domaine),RDF1010210,Mécanique rationnelle et mécanique appliquée,Cette sous-classe comprend la recherche et le développement expérimental en mécanique rationnelle et mécanique appliquée.
4,Sous-classe (Domaine),RDF1010211,Analyse numérique,Cette sous-classe comprend la recherche et le développement expérimental en analyses numériques.
4,Sous-classe (Domaine),RDF1010212,Optimisation mathématique,Cette sous-classe comprend la recherche et le développement expérimental en optimisation mathématique.
4,Sous-classe (Domaine),RDF1010213,Physique mathématique,Cette sous-classe comprend la recherche et le développement expérimental en physique mathématique.
4,Sous-classe (Domaine),RDF1010299,"Mathématiques appliquées, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en mathématiques appliquées, n.c.a."
3,Classe,RDF10103,Statistique,Cette classe comprend la recherche et le développement expérimental en statistique.
4,Sous-classe (Domaine),RDF1010301,Méthodes statistiques générales,Cette classe comprend la recherche et le développement expérimental en méthodes statistiques générales.
4,Sous-classe (Domaine),RDF1010302,Méthodes biostatistiques,Cette sous-classe comprend la recherche et le développement expérimental en méthodes biostatistiques.
4,Sous-classe (Domaine),RDF1010303,Théorie et modélisation statistiques,Cette sous-classe comprend la recherche et le développement expérimental en théorie statistique et modélisation.
4,Sous-classe (Domaine),RDF1010304,Inférence statistique,Cette sous-classe comprend la recherche et le développement expérimental en inférence statistique.
4,Sous-classe (Domaine),RDF1010305,Apprentissage statistique,Cette sous-classe comprend la recherche et le développement expérimental en apprentissage statistique.
4,Sous-classe (Domaine),RDF1010306,Analyse de données haute dimension,Cette sous-classe comprend la recherche et le développement expérimental en analyse de données haute dimension.
4,Sous-classe (Domaine),RDF1010307,Méthodes de calcul en statistique,Cette sous-classe comprend la recherche et le développement expérimental en méthodes de calcul en statistique.
4,Sous-classe (Domaine),RDF1010308,Sciences actuarielles et finance mathématique,Cette sous-classe comprend la recherche et le développement expérimental en sciences actuarielles et finance mathématique.
4,Sous-classe (Domaine),RDF1010309,Statistique spatiale,Cette sous-classe comprend la recherche et le développement expérimental en statistique spatiale.
4,Sous-classe (Domaine),RDF1010310,Méthodologie d'enquête et analyse des enquêtes,Cette sous-classe comprend la recherche et le développement expérimental en méthodologie d'enquête et analyse des enquêtes.
4,Sous-classe (Domaine),RDF1010311,Méthodes statistiques pour les données à haut débit,Cette sous-classe comprend la recherche et le développement expérimental en méthodes statistiques pour les données à haut débit.
4,Sous-classe (Domaine),RDF1010312,Théorie des probabilités,Cette sous-classe comprend la recherche et le développement expérimental en théorie des probabilités.
4,Sous-classe (Domaine),RDF1010399,"Statistique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en statistique, n.c.a."
2,Groupe,RDF102,Informatique et systèmes d'information,Ce groupe comprend la recherche et le développement expérimental en informatique et sciences de l'information.
3,Classe,RDF10201,Intelligence artificielle (IA),Cette classe comprend la recherche et le développement expérimental en intelligence artificielle (IA).
4,Sous-classe (Domaine),RDF1020101,Agents adaptatifs,Cette sous-classe comprend la recherche et le développement expérimental en agents adaptatifs.
4,Sous-classe (Domaine),RDF1020102,Robotique intelligente,Cette sous-classe comprend la recherche et le développement expérimental en robotique intelligente.
4,Sous-classe (Domaine),RDF1020103,Vie artificielle,Cette sous-classe comprend la recherche et le développement expérimental en vie artificielle.
4,Sous-classe (Domaine),RDF1020104,Apprentissage machine,Cette sous-classe comprend la recherche et le développement expérimental en apprentissage machine.
4,Sous-classe (Domaine),RDF1020105,Traitement du langage naturel,Cette sous-classe comprend la recherche et le développement expérimental en traitement du langage naturel.
4,Sous-classe (Domaine),RDF1020106,Représentation des connaissances,Cette sous-classe comprend la recherche et le développement expérimental en représentation des connaissances.
4,Sous-classe (Domaine),RDF1020107,Planification et ordonnancement en intelligence artificielle,Cette sous-classe comprend la recherche et le développement expérimental en planification et ordonnancement en intelligence artificielle.
4,Sous-classe (Domaine),RDF1020108,Méthodes de recherche en intelligence artificielle,Cette sous-classe comprend la recherche et le développement expérimental en méthodes de recherche en intelligence artificielle.
4,Sous-classe (Domaine),RDF1020109,Intelligence artificielle répartie,Cette sous-classe comprend la recherche et le développement expérimental en intelligence artificielle répartie.
4,Sous-classe (Domaine),RDF1020110,Exploration de données,Cette sous-classe comprend la recherche et le développement expérimental en exploration de données.
4,Sous-classe (Domaine),RDF1020111,Reconnaissance des formes et vision artificielle,Cette sous-classe comprend la recherche et le développement expérimental en reconnaissance des formes et vision artificielle.
4,Sous-classe (Domaine),RDF1020112,Vision par ordinateur en intelligence artificielle,Cette sous-classe comprend la recherche et le développement expérimental en vision par ordinateur en intelligence artificielle.
4,Sous-classe (Domaine),RDF1020113,Informatique cognitive,Cette sous-classe comprend la recherche et le développement expérimental en informatique cognitive.
4,Sous-classe (Domaine),RDF1020114,"Modélisation de la perception, de la mémorisation et de l'attention sur ordinateur","Cette sous-classe comprend la recherche et le développement expérimental en modélisation de la perception, de la mémorisation et de l'attention sur ordinateur."
4,Sous-classe (Domaine),RDF1020115,Programmation logique en intelligence artificielle,Cette sous-classe comprend la recherche et le développement expérimental en programmation logique en intelligence artificielle.
4,Sous-classe (Domaine),RDF1020116,Technologies des systèmes experts en intelligence artificielle,Cette sous-classe comprend la recherche et le développement expérimental en technologies des systèmes experts en intelligence artificielle.
4,Sous-classe (Domaine),RDF1020199,"Intelligence artificielle, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en intelligence artificielle, n.c.a."
3,Classe,RDF10202,Informatique théorique et mathématiques computationnelles,Cette classe comprend la recherche et le développement expérimental en informatique théorique et mathématiques computationnelles.
4,Sous-classe (Domaine),RDF1020201,Analyse des algorithmes et de la complexité,Cette sous-classe comprend la recherche et le développement expérimental en analyse des algorithmes et de la complexité.
4,Sous-classe (Domaine),RDF1020202,Algorithmes et structures de données,Cette sous-classe comprend la recherche et le développement expérimental en algorithmes et structures de données.
4,Sous-classe (Domaine),RDF1020203,Mathématiques discrètes appliquées,Cette sous-classe comprend la recherche et le développement expérimental en mathématiques discrètes appliquées.
4,Sous-classe (Domaine),RDF1020204,Théorie des codes et de l'information,Cette sous-classe comprend la recherche et le développement expérimental en théorie des codes et de l'information.
4,Sous-classe (Domaine),RDF1020205,Théorie de la logique computationnelle,Cette sous-classe comprend la recherche et le développement expérimental en théorie de la logique computationnelle.
4,Sous-classe (Domaine),RDF1020206,Langages artificiels,Cette sous-classe comprend la recherche et le développement expérimental en langages artificiels.
4,Sous-classe (Domaine),RDF1020207,Logiciel de mathématiques,Cette sous-classe comprend la recherche et le développement expérimental en logiciel de mathématiques.
4,Sous-classe (Domaine),RDF1020208,Calcul numérique,Cette sous-classe comprend la recherche et le développement expérimental en calcul numérique.
4,Sous-classe (Domaine),RDF1020209,Chiffrement de données et cryptographie,Cette sous-classe comprend la recherche et le développement expérimental en chiffrement de données et cryptographie.
4,Sous-classe (Domaine),RDF1020210,Langages de programmation répartis,Cette sous-classe comprend la recherche et le développement expérimental en langages de programmation répartis.
4,Sous-classe (Domaine),RDF1020299,"Autres informatique théorique et mathématiques computationnelles, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en autres informatique théorique et mathématiques computationnelles, n.c.a."
3,Classe,RDF10203,Langages de programmation et génie logiciel,Cette classe comprend la recherche et le développement expérimental en langages de programmation et génie logiciel.
4,Sous-classe (Domaine),RDF1020301,Architecture logicielle,Cette sous-classe comprend la recherche et le développement expérimental en architecture logicielle.
4,Sous-classe (Domaine),RDF1020302,Modèles informatiques,Cette sous-classe comprend la recherche et le développement expérimental en modèles informatiques.
4,Sous-classe (Domaine),RDF1020303,Domaines logiciels (y compris les systèmes d'exploitation et l'infrastructure logicielle),Cette sous-classe comprend la recherche et le développement expérimental en domaines logiciels (y compris les systèmes d'exploitation et l'infrastructure logicielle).
4,Sous-classe (Domaine),RDF1020304,Langages de programmation,Cette sous-classe comprend la recherche et le développement expérimental en langages de programmation.
4,Sous-classe (Domaine),RDF1020305,Modèles de systèmes logiciels,Cette sous-classe comprend la recherche et le développement expérimental en modèles de systèmes logiciels.
4,Sous-classe (Domaine),RDF1020306,Principes d'organisation des systèmes répartis,Cette sous-classe comprend la recherche et le développement expérimental en principes d'organisation des systèmes répartis.
4,Sous-classe (Domaine),RDF1020307,Logiciels de traitement en temps réel dans le contexte des mégasystèmes,Cette sous-classe comprend la recherche et le développement expérimental en logiciels de traitement en temps réel dans le contexte des mégasystèmes.
4,Sous-classe (Domaine),RDF1020308,Propriétés ultrafonctionnelles,Cette sous-classe comprend la recherche et le développement expérimental en propriétés ultrafonctionnelles.
4,Sous-classe (Domaine),RDF1020309,Compilateurs,Cette sous-classe comprend la recherche et le développement expérimental en compilateurs.
4,Sous-classe (Domaine),RDF1020310,Systèmes opérationnels,Cette sous-classe comprend la recherche et le développement expérimental en systèmes opérationnels.
4,Sous-classe (Domaine),RDF1020311,Propriétés des fonctions logicielles,Cette sous-classe comprend la recherche et le développement expérimental en propriétés des fonctions logicielles.
4,Sous-classe (Domaine),RDF1020312,Algorithmes répartis,Cette sous-classe comprend la recherche et le développement expérimental en algorithmes répartis.
4,Sous-classe (Domaine),RDF1020313,Génie du logiciel adaptatif,Cette sous-classe comprend la recherche et le développement expérimental en génie du logiciel adaptatif.
4,Sous-classe (Domaine),RDF1020399,"Langages de programmation et génie logiciel, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en langages de programmation et génie logiciel, n.c.a."
3,Classe,RDF10204,Systèmes informatiques,Cette classe comprend la recherche et le développement expérimental en systèmes informatiques.
4,Sous-classe (Domaine),RDF1020401,Systèmes répartis,Cette sous-classe comprend la recherche et le développement expérimental en systèmes répartis.
4,Sous-classe (Domaine),RDF1020402,Réseautage et communications,Cette sous-classe comprend la recherche et le développement expérimental en réseautage et communications.
4,Sous-classe (Domaine),RDF1020403,Systèmes parallèles,Cette sous-classe comprend la recherche et le développement expérimental en systèmes parallèles.
4,Sous-classe (Domaine),RDF1020404,Informatique quantique,Cette sous-classe comprend la recherche et le développement expérimental en informatique quantique.
4,Sous-classe (Domaine),RDF1020499,"Systèmes informatiques, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en systèmes informatiques, n.c.a."
3,Classe,RDF10205,Informatique centrée sur l'humain,Cette classe comprend la recherche et le développement expérimental en informatique centrée sur l'humain.
4,Sous-classe (Domaine),RDF1020501,Interaction personne-machine,Cette sous-classe comprend la recherche et le développement expérimental en interaction personne-machine.
4,Sous-classe (Domaine),RDF1020502,Conception des interactions pour l'informatique centrée sur l'humain,Cette sous-classe comprend la recherche et le développement expérimental en conception des interactions pour l'informatique centrée sur l'humain.
4,Sous-classe (Domaine),RDF1020503,Systèmes adaptatifs et personnalisés,Cette sous-classe comprend la recherche et le développement expérimental en systèmes adaptatifs et personnalisés.
4,Sous-classe (Domaine),RDF1020504,Informatique collaborative et sociale,Cette sous-classe comprend la recherche et le développement expérimental en informatique collaborative et sociale.
4,Sous-classe (Domaine),RDF1020505,Informatique mobile omniprésente,Cette sous-classe comprend la recherche et le développement expérimental en informatique mobile omniprésente.
4,Sous-classe (Domaine),RDF1020506,Accessibilité en informatique centrée sur l'humain,Cette sous-classe comprend la recherche et le développement expérimental en accessibilité en informatique en informatique centrée sur l'humain.
4,Sous-classe (Domaine),RDF1020507,Infographie,Cette sous-classe comprend la recherche et le développement expérimental en infographie.
4,Sous-classe (Domaine),RDF1020508,Visualisation de données,Cette sous-classe comprend la recherche et le développement expérimental en visualisation de données.
4,Sous-classe (Domaine),RDF1020509,"Réalité virtuelle et augmentée, et simulations connexes","Cette sous-classe comprend la recherche et le développement expérimental en réalité virtuelle et augmentée, et simulations connexes."
4,Sous-classe (Domaine),RDF1020599,"Informatique centrée sur l'humain, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en informatique centrée sur l'humain, n.c.a."
3,Classe,RDF10206,Systèmes d'information,Cette classe comprend la recherche et le développement expérimental en systèmes d'information.
4,Sous-classe (Domaine),RDF1020601,Sécurité des systèmes d'information,Cette sous-classe comprend la recherche et le développement expérimental en sécurité des systèmes d'information.
4,Sous-classe (Domaine),RDF1020602,Modélisation et simulation des systèmes d'information,Cette sous-classe comprend la recherche et le développement expérimental en modélisation et simulation des systèmes d'information.
4,Sous-classe (Domaine),RDF1020603,Technologies Web (sauf la recherche dans Internet),Cette sous-classe comprend la recherche et le développement expérimental en technologies Web (sauf la recherche dans Internet).
4,Sous-classe (Domaine),RDF1020604,Modélisation conceptuelle des systèmes d'information,Cette sous-classe comprend la recherche et le développement expérimental en modélisation conceptuelle des systèmes d'information.
4,Sous-classe (Domaine),RDF1020605,Gestion de bases de données,Cette sous-classe comprend la recherche et le développement expérimental en gestion de bases de données.
4,Sous-classe (Domaine),RDF1020606,Systèmes d'aide à la décision,Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'aide à la décision.
4,Sous-classe (Domaine),RDF1020607,Systèmes de données spatiotemporelles,Cette sous-classe comprend la recherche et le développement expérimental en systèmes de données spatiotemporelles.
4,Sous-classe (Domaine),RDF1020608,Méthodologies de conception de systèmes d'information,Cette sous-classe comprend la recherche et le développement expérimental en méthodologies de conception de systèmes d'information.
4,Sous-classe (Domaine),RDF1020609,Recherche documentaire,Cette sous-classe comprend la recherche et le développement expérimental en recherche documentaire.
4,Sous-classe (Domaine),RDF1020610,Confidentialité de l'information,Cette sous-classe comprend la recherche et le développement expérimental en confidentialité de l'information.
4,Sous-classe (Domaine),RDF1020611,Technologies d'amélioration de la confidentialité,Cette sous-classe comprend la recherche et le développement expérimental en technologies d'amélioration de la confidentialité.
4,Sous-classe (Domaine),RDF1020612,Criminalistique numérique,Cette sous-classe comprend la recherche et le développement expérimental en criminalistique numérique.
4,Sous-classe (Domaine),RDF1020699,"Systèmes d'information, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en systèmes d'information, n.c.a."
3,Classe,RDF10207,Bibliothéconomie et études de l'information,Cette classe comprend la recherche et le développement expérimental en bibliothéconomie et études de l'information.
4,Sous-classe (Domaine),RDF1020701,Bibliothéconomie,Cette sous-classe comprend la recherche et le développement expérimental en bibliothéconomie.
4,Sous-classe (Domaine),RDF1020702,Comportements humains liés à la recherche d'information (y compris les aspects humains de la recherche documentaire),Cette sous-classe comprend la recherche et le développement expérimental en comportements humains liés à la recherche d'information (y compris les aspects humains de la recherche documentaire).
4,Sous-classe (Domaine),RDF1020703,Recherche dans Internet,Cette sous-classe comprend la recherche et le développement expérimental en recherche dans Internet.
4,Sous-classe (Domaine),RDF1020704,"Scientométrie, bibliométrie, webométrie et autres aspects quantitatifs de l'information (infométrie)","Cette sous-classe comprend la recherche et le développement expérimental en scientométrie, bibliométrie, webométrie et autres aspects quantitatifs de l'information (infométrie)."
4,Sous-classe (Domaine),RDF1020705,Organisation de l'information et des connaissances,Cette sous-classe comprend la recherche et le développement expérimental en organisation de l'information et des connaissances.
4,Sous-classe (Domaine),RDF1020706,Gestion de l'information et des documents (sauf la gestion de l'information et des documents opérationnels),Cette sous-classe comprend la recherche et le développement expérimental en gestion de l'information et des documents (sauf la gestion de l'information et des documents opérationnels).
4,Sous-classe (Domaine),RDF1020707,"Archivistique, gestion de référentiels et études connexes","Cette sous-classe comprend la recherche et le développement expérimental en archivistique, gestion de référentiels et études connexes."
4,Sous-classe (Domaine),RDF1020708,Littératie informationnelle,Cette sous-classe comprend la recherche et le développement expérimental en littératie informationnelle.
4,Sous-classe (Domaine),RDF1020799,"Études de l'information, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en études de l'information, n.c.a."
3,Classe,RDF10208,Bioinformatique,Cette classe comprend la recherche et le développement expérimental en bio-informatique.
4,Sous-classe (Domaine),RDF1020801,Algorithmes et informatique appliquée à la génomique,Cette sous-classe comprend la recherche et le développement expérimental en algorithmes et informatique appliquée à la génomique.
4,Sous-classe (Domaine),RDF1020802,Biomodélisation computationnelle,Cette sous-classe comprend la recherche et le développement expérimental en biomodélisation computationnelle.
4,Sous-classe (Domaine),RDF1020803,Neurosciences computationnelles,Cette sous-classe comprend la recherche et le développement expérimental en neurosciences computationnelles.
4,Sous-classe (Domaine),RDF1020804,ADN informatique,Cette sous-classe comprend la recherche et le développement expérimental en ADN informatique.
4,Sous-classe (Domaine),RDF1020805,Calculs moléculaire et atomique par ordinateur,Cette sous-classe comprend la recherche et le développement expérimental en calculs moléculaire et atomique par ordinateur.
4,Sous-classe (Domaine),RDF1020806,Informatique évolutionniste,Cette sous-classe comprend la recherche et le développement expérimental en informatique évolutionniste.
4,Sous-classe (Domaine),RDF1020807,Algorithmes génétiques,Cette sous-classe comprend la recherche et le développement expérimental en algorithmes génétiques.
4,Sous-classe (Domaine),RDF1020808,Programmation génétique,Cette sous-classe comprend la recherche et le développement expérimental en programmation génétique.
4,Sous-classe (Domaine),RDF1020899,"Bioinformatique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en bio-informatique, n.c.a."
3,Classe,RDF10299,Autres informatique et sciences de l'information,Cette classe comprend la recherche et le développement expérimental en autres informatique et sciences de l'information.
4,Sous-classe (Domaine),RDF1029999,Autres informatique et sciences de l'information,"Cette sous-classe comprend la recherche et le développement expérimental en autres informatique et sciences de l'information, n.c.a."
2,Groupe,RDF103,Sciences physiques,Ce groupe comprend la recherche et le développement expérimental en sciences physiques.
3,Classe,RDF10301,Sciences astronomiques et spatiales,Cette classe comprend la recherche et le développement expérimental en sciences astronomiques et spatiales.
4,Sous-classe (Domaine),RDF1030101,Astrobiologie,Cette sous-classe comprend la recherche et le développement expérimental en astrobiologie.
4,Sous-classe (Domaine),RDF1030102,Mécanique céleste,Cette sous-classe comprend la recherche et le développement expérimental en mécanique céleste.
4,Sous-classe (Domaine),RDF1030103,Instrumentation pour l'astronomie et l'espace (y compris l'observation de l'atmosphère),Cette sous-classe comprend la recherche et le développement expérimental en instrumentation pour l'astronomie et l'espace (y compris l'observation de l'atmosphère).
4,Sous-classe (Domaine),RDF1030104,Cosmologie et astronomie extragalactique,Cette sous-classe comprend la recherche et le développement expérimental en cosmologie et astronomie extragalactique.
4,Sous-classe (Domaine),RDF1030105,Astronomie galactique,Cette sous-classe comprend la recherche et le développement expérimental en astronomie galactique.
4,Sous-classe (Domaine),RDF1030106,Relativité générale et ondes gravitationnelles en sciences astronomiques et spatiales,Cette sous-classe comprend la recherche et le développement expérimental en relativité générale et ondes gravitationnelles en sciences astronomiques et spatiales.
4,Sous-classe (Domaine),RDF1030107,"Physique de la mésosphère, de l'ionosphère et de la magnétosphère","Cette sous-classe comprend la recherche et le développement expérimental en physique de la mésosphère, de l'ionosphère et de la magnétosphère."
4,Sous-classe (Domaine),RDF1030108,Sciences planétaires (sauf la géologie planétaire),Cette sous-classe comprend la recherche et le développement expérimental en sciences planétaires (sauf la géologie planétaire).
4,Sous-classe (Domaine),RDF1030109,Physique spatiale et solaire,Cette sous-classe comprend la recherche et le développement expérimental en physique spatiale et solaire.
4,Sous-classe (Domaine),RDF1030110,Astronomie stellaire et systèmes planétaires,Cette sous-classe comprend la recherche et le développement expérimental en astronomie stellaire et systèmes planétaires.
4,Sous-classe (Domaine),RDF1030111,Astrochimie,Cette sous-classe comprend la recherche et le développement expérimental en astrochimie.
4,Sous-classe (Domaine),RDF1030112,Énergie sombre,Cette sous-classe comprend la recherche et le développement expérimental en énergie sombre.
4,Sous-classe (Domaine),RDF1030113,Astrophysique théorique et computationnelle,Cette sous-classe comprend la recherche et le développement expérimental en astrophysique théorique et computationnelle.
4,Sous-classe (Domaine),RDF1030199,"Sciences astronomiques et spatiales, n.c.a.",Cette sous-classe comprend la recherche et le développement expérimental en physique subatomique.
3,Classe,RDF10302,Physique subatomique,Cette classe comprend la recherche et le développement expérimental en physique subatomique.
4,Sous-classe (Domaine),RDF1030201,"Physique nucléaire, expérimentale","Cette sous-classe comprend la recherche et le développement expérimental en physique nucléaire, expérimentale."
4,Sous-classe (Domaine),RDF1030202,"Physique des particules, expérimentale","Cette sous-classe comprend la recherche et le développement expérimental en physique des particules, expérimentale."
4,Sous-classe (Domaine),RDF1030203,Physique des astroparticules,Cette sous-classe comprend la recherche et le développement expérimental en physique des astroparticules.
4,Sous-classe (Domaine),RDF1030204,Instruments de la physique subatomique,Cette sous-classe comprend la recherche et le développement expérimental en instruments de la physique subatomique.
4,Sous-classe (Domaine),RDF1030205,Accélérateurs de physique nucléaire et de physique des particules (y compris les synchrotrons),Cette sous-classe comprend la recherche et le développement expérimental en accélérateurs de physique nucléaire et de physique des particules (y compris les synchrotrons).
4,Sous-classe (Domaine),RDF1030206,Théorie de la physique nucléaire,Cette sous-classe comprend la recherche et le développement expérimental en théorie de la physique nucléaire.
4,Sous-classe (Domaine),RDF1030207,Théorie de la physique des particules (y compris certains aspects de la théorie des champs et de la théorie des cordes),Cette sous-classe comprend la recherche et le développement expérimental en théorie de la physique des particules (y compris certains aspects de la théorie des champs et de la théorie des cordes).
4,Sous-classe (Domaine),RDF1030208,Astrophysique des hautes énergies et rayons cosmiques,Cette sous-classe comprend la recherche et le développement expérimental en astrophysique des hautes énergies et rayons cosmiques.
4,Sous-classe (Domaine),RDF1030209,Interactions électrofaibles des particules élémentaires,Cette sous-classe comprend la recherche et le développement expérimental en interactions électrofaibles des particules élémentaires.
4,Sous-classe (Domaine),RDF1030210,Réactions aux énergies intermédiaires subatomiques,Cette sous-classe comprend la recherche et le développement expérimental en réaction aux énergies intermédiaires subatomiques.
4,Sous-classe (Domaine),RDF1030299,"Physique subatomique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en physique subatomique, n.c.a."
3,Classe,RDF10303,"Physique atomique, moléculaire et optique","Cette classe comprend la recherche et le développement expérimental en physique atomique, moléculaire et optique."
4,Sous-classe (Domaine),RDF1030301,Physique atomique et moléculaire,Cette sous-classe comprend la recherche et le développement expérimental en physique atomique et moléculaire.
4,Sous-classe (Domaine),RDF1030302,Optique classique et physique,Cette sous-classe comprend la recherche et le développement expérimental en optique classique et physique.
4,Sous-classe (Domaine),RDF1030303,Lasers et électronique quantique,Cette sous-classe comprend la recherche et le développement expérimental en lasers et électronique quantique.
4,Sous-classe (Domaine),RDF1030304,Optique non linéaire et spectroscopie,Cette sous-classe comprend la recherche et le développement expérimental en optique non linéaire et spectroscopie.
4,Sous-classe (Domaine),RDF1030305,Spectroscopie atomique et moléculaire,Cette sous-classe comprend la recherche et le développement expérimental en spectroscopie atomique et moléculaire.
4,Sous-classe (Domaine),RDF1030306,"Photonique, optoélectronique et communications optiques","Cette sous-classe comprend la recherche et le développement expérimental en photonique, optoélectronique et communications optiques."
4,Sous-classe (Domaine),RDF1030307,"Physique des plasmas, plasmas de fusion, et les décharges électriques","Cette sous-classe comprend la recherche et le développement expérimental en physique des plasmas, plasmas de fusion, et les décharges électriques."
4,Sous-classe (Domaine),RDF1030308,Optique quantique,Cette sous-classe comprend la recherche et le développement expérimental en optique quantique.
4,Sous-classe (Domaine),RDF1030399,"Physique atomique, moléculaire et optique, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en physique atomique, moléculaire et optique, n.c.a."
3,Classe,RDF10304,Physique classique,Cette classe comprend la recherche et le développement expérimental en physique classique.
