Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
4,Sous-classe (Domaine),RDF3030205,"Déterminants psychosociaux, socioculturels et comportementaux de la santé","Cette sous-classe comprend la recherche et le développement expérimental en déterminants psychosociaux, socioculturels et comportementaux de la santé."
4,Sous-classe (Domaine),RDF3030206,Déterminants environnementaux de la santé (y compris les interactions environnement-gènes),Cette sous-classe comprend la recherche et le développement expérimental en déterminants environnementaux de la santé (y compris les interactions environnement-gènes).
4,Sous-classe (Domaine),RDF3030207,"Enjeux éthiques, juridiques et sociaux de la santé, des systèmes de santé et de la recherche en santé","Cette sous-classe comprend la recherche et le développement expérimental en enjeux éthiques, juridiques et sociaux de la santé, des systèmes de santé et de la recherche en santé."
4,Sous-classe (Domaine),RDF3030208,Processus de vieillissement,Cette sous-classe comprend la recherche et le développement expérimental en processus de vieillissement.
4,Sous-classe (Domaine),RDF3030209,Déterminants biologiques et sociaux du vieillissement,Cette sous-classe comprend la recherche et le développement expérimental en déterminants biologiques et sociaux du vieillissement.
4,Sous-classe (Domaine),RDF3030210,Hygiène du milieu et santé et sécurité au travail,Cette sous-classe comprend la recherche et le développement expérimental en hygiène du milieu et santé et sécurité au travail.
4,Sous-classe (Domaine),RDF3030211,Épidémiologie (sauf l'épidémiologie nutritionnelle et vétérinaire),Cette sous-classe comprend la recherche et le développement expérimental en épidémiologie (sauf l'épidémiologie nutritionnelle et vétérinaire).
4,Sous-classe (Domaine),RDF3030212,Promotion de la santé et prévention des maladies,Cette sous-classe comprend la recherche et le développement expérimental en promotion de la santé et prévention des maladies.
4,Sous-classe (Domaine),RDF3030213,Sécurité alimentaire,Cette sous-classe comprend la recherche et le développement expérimental en sécurité alimentaire.
4,Sous-classe (Domaine),RDF3030214,Équité en santé,Cette sous-classe comprend la recherche et le développement expérimental en équité en santé.
4,Sous-classe (Domaine),RDF3030215,Analyses fondées sur le sexe et le genre,Cette sous-classe comprend la recherche et le développement expérimental en analyses fondées sur le sexe et le genre.
4,Sous-classe (Domaine),RDF3030216,Relations genre et santé,Cette sous-classe comprend la recherche et le développement expérimental en relations genre et santé.
4,Sous-classe (Domaine),RDF3030217,Santé mondiale,Cette sous-classe comprend la recherche et le développement expérimental en santé mondiale.
4,Sous-classe (Domaine),RDF3030218,Santé et violence fondée sur le genre,Cette sous-classe comprend la recherche et le développement expérimental en santé et violence fondée sur le genre.
4,Sous-classe (Domaine),RDF3030219,Santé des militaires et des anciens combattants,Cette sous-classe comprend la recherche et le développement expérimental en santé des militaires et des anciens combattants.
4,Sous-classe (Domaine),RDF3030220,Étiologie des maladies et des affections,Cette sous-classe comprend la recherche et le développement expérimental en étiologie des maladies et des affections.
4,Sous-classe (Domaine),RDF3030221,Épidémiologie nutritionnelle,Cette sous-classe comprend la recherche et le développement expérimental en épidémiologie nutritionnelle.
4,Sous-classe (Domaine),RDF3030222,L'approche une seule santé,Cette sous-classe comprend la recherche et le développement expérimental en l'approche une santé.
4,Sous-classe (Domaine),RDF3030299,"Santé publique et santé des populations, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en santé publique et santé des populations, n.c.a."
3,Classe,RDF30303,Médecine de la réadaptation,Cette classe comprend la recherche et le développement expérimental en médecine de la réadaptation.
4,Sous-classe (Domaine),RDF3030301,Kinésiologie,Cette sous-classe comprend la recherche et le développement expérimental en kinésiologie.
4,Sous-classe (Domaine),RDF3030302,Physiothérapie,Cette sous-classe comprend la recherche et le développement expérimental en physiothérapie.
4,Sous-classe (Domaine),RDF3030303,Ergothérapie,Cette sous-classe comprend la recherche et le développement expérimental en ergothérapie.
