Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
4,RDF3020502,Obstétrique et gynécologie,Exclusion(s),soins maternels et néonataux  (Voir RDF3030513 Soins maternels et néonataux)
4,RDF3020502,Obstétrique et gynécologie,Exclusion(s),maïeutique (sage-femme)  (Voir RDF3030518 Maïeutique (sage-femme))
4,RDF3020503,Pédiatrie,Exclusion(s),soins maternels et néonataux  (Voir RDF3030513 Soins maternels et néonataux)
4,RDF3020503,Pédiatrie,Exclusion(s),maïeutique (sage-femme)  (Voir RDF3030518 Maïeutique (sage-femme))
4,RDF3020505,Néonatalogie,Exclusion(s),soins maternels et néonataux  (Voir RDF3030513 Soins maternels et néonataux)
2,RDF303,Sciences de la santé,Exclusion(s),histoire et philosophie de la médecine  (Voir RDF6030306 Histoire et philosophie de la médecine)
2,RDF303,Sciences de la santé,Exclusion(s),histoire de la médecine et des soins de santé  (Voir RDF6010112 Histoire de la médecine et des soins de santé)
2,RDF303,Sciences de la santé,Exclusion(s),valeur nutritive et l'alimentation équilibrée  (Voir RDF40402 Sciences de l'alimentation (y compris le génie de l'alimentation))
2,RDF303,Sciences de la santé,Exclusion(s),médecine vétérinaire  (Voir RDF4030105 Médecine vétérinaire)
3,RDF30301,Nutrition et diététique humaines,Exclusion(s),nutrition animale  (Voir RDF4020104 Nutrition et métabolisme des animaux)
3,RDF30301,Nutrition et diététique humaines,Exclusion(s),"métabolisme en physiologie animale  (Voir RDF1060803 Physiologie animale, métabolisme)"
3,RDF30301,Nutrition et diététique humaines,Exclusion(s),valeur nutritive et l'alimentation équilibrée  (Voir RDF40402 Sciences de l'alimentation (y compris le génie de l'alimentation))
3,RDF30301,Nutrition et diététique humaines,Exclusion(s),nutrition et métabolisme des végétaux  (Voir RDF1060910 Nutrition et métabolisme des végétaux)
4,RDF3030106,Nutrition et métabolisme des humains,Exclusion(s),nutrition animale  (Voir RDF4020104 Nutrition et métabolisme des animaux)
4,RDF3030106,Nutrition et métabolisme des humains,Exclusion(s),innocuité des aliments  (Voir RDF4040203 Innocuité des aliments)
4,RDF3030106,Nutrition et métabolisme des humains,Exclusion(s),nutrition et métabolisme des végétaux  (Voir RDF1060910 Nutrition et métabolisme des végétaux)
4,RDF3030208,Processus de vieillissement,Exclusion(s),déterminants environnementaux de la santé  (Voir RDF3030206 Déterminants environnementaux de la santé (y compris les interactions environnement-gènes))
4,RDF3030208,Processus de vieillissement,Exclusion(s),déterminants biologiques et sociaux du vieillissement  (Voir RDF3030209 Déterminants biologiques et sociaux du vieillissement)
4,RDF3030209,Déterminants biologiques et sociaux du vieillissement,Exclusion(s),déterminants environnementaux de la santé  (Voir RDF3030206 Déterminants environnementaux de la santé (y compris les interactions environnement-gènes))
4,RDF3030210,Hygiène du milieu et santé et sécurité au travail,Exclusion(s),"aspects de la gestion de la santé, de la sécurité et du mieux-être en milieu de travail  (Voir RDF5020203 Gestion de la santé, de la sécurité et du mieux-être au travail)"
4,RDF3030211,Épidémiologie (sauf l'épidémiologie nutritionnelle et vétérinaire),Exclusion(s),épidémiologie nutritionnelle  (Voir RDF3030221 Épidémiologie nutritionnelle)
4,RDF3030211,Épidémiologie (sauf l'épidémiologie nutritionnelle et vétérinaire),Exclusion(s),épidémiologie vétérinaire  (Voir RDF4030103 Épidémiologie vétérinaire)
4,RDF3030216,Relations genre et santé,Exclusion(s),analyses fondées sur le sexe et le genre  (Voir RDF3030215 Analyses fondées sur le sexe et le genre)
4,RDF3030307,Médecine du sport,Exclusion(s),kinésiologie  (Voir RDF3030301 Kinésiologie)
