Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
4,RDF2080101,Gestion des matières résiduelles,Exclusion(s),gestion des déchets  (Voir RDF2080107 Gestion des déchets (y compris les déchets agricoles))
4,RDF2080107,Gestion des déchets (y compris les déchets agricoles),Exclusion(s),gestion des matières résiduelles (du recyclage)  (Voir RDF2080101 Gestion des matières résiduelles)
3,RDF20802,Génie géomatique,Exclusion(s),géomatique associée aux observations des systèmes terrestres  (Voir RDF10509 Géomatique et observation des systèmes terrestres)
3,RDF20802,Génie géomatique,Exclusion(s),géophysique  (Voir RDF10504 Géophysique)
4,RDF2080204,Télédétection en géomatique et photogrammétrie,Exclusion(s),antennes de communication utilisées pour la télédétection  (Voir RDF20302 Technologies des communications et des réseaux)
2,RDF209,Biotechnologies de l'environnement,Exclusion(s),histoire et la philosophie des technologies  (Voir RDF6030304 Histoire et philosophie du génie et de la technologie)
3,RDF20901,Biotechnologies de l'environnement,Exclusion(s),biotechnologies de l'agriculture  (Voir RDF40401 Biotechnologies de l'agriculture)
3,RDF20901,Biotechnologies de l'environnement,Exclusion(s),génie de l'environnement  (Voir RDF20801 Génie de l'environnement)
3,RDF20901,Biotechnologies de l'environnement,Exclusion(s),sciences de l'environnement  (Voir RDF105 Sciences de la Terre et sciences de l'environnement connexes)
3,RDF20901,Biotechnologies de l'environnement,Exclusion(s),"utilisation éthique de la biotechnologie  (Voir RDF6030203 Aspects éthiques des technologies (par ex., le numérique, l'intelligence artificielle))"
3,RDF20901,Biotechnologies de l'environnement,Exclusion(s),biotechnologies médicales  (Voir RDF30401 Biotechnologies médicales)
3,RDF20901,Biotechnologies de l'environnement,Exclusion(s),nanobiotechnologie  (Voir RDF2110102 Nanobiotechnologies)
